4f89ccd7-d737-4d0f-ba10-55d764a61ba5,29,33,189.42
4f89ccd7-d737-4d0f-ba10-55d764a61ba5,34,38,217.83
4f89ccd7-d737-4d0f-ba10-55d764a61ba5,39,43,259.22
4f89ccd7-d737-4d0f-ba10-55d764a61ba5,44,48,324.03
4f89ccd7-d737-4d0f-ba10-55d764a61ba5,49,53,405.04
4f89ccd7-d737-4d0f-ba10-55d764a61ba5,54,58,688.57
4f89ccd7-d737-4d0f-ba10-55d764a61ba5,59,120,771.2
15e484c8-e683-4fb7-ab24-7db5f217f746,00,18,196.18
15e484c8-e683-4fb7-ab24-7db5f217f746,19,23,219.72
15e484c8-e683-4fb7-ab24-7db5f217f746,24,28,246.09
15e484c8-e683-4fb7-ab24-7db5f217f746,29,33,283
15e484c8-e683-4fb7-ab24-7db5f217f746,34,38,325.45
15e484c8-e683-4fb7-ab24-7db5f217f746,39,43,387.29
15e484c8-e683-4fb7-ab24-7db5f217f746,44,48,484.11
15e484c8-e683-4fb7-ab24-7db5f217f746,49,53,605.14
15e484c8-e683-4fb7-ab24-7db5f217f746,54,58,1028.74
15e484c8-e683-4fb7-ab24-7db5f217f746,59,120,1152.19
3d533735-7f49-4195-ac3e-54d680f5b877,00,18,95.76
3d533735-7f49-4195-ac3e-54d680f5b877,19,23,107.25
3d533735-7f49-4195-ac3e-54d680f5b877,24,28,120.12
3d533735-7f49-4195-ac3e-54d680f5b877,29,33,138.14
3d533735-7f49-4195-ac3e-54d680f5b877,34,38,158.86
3d533735-7f49-4195-ac3e-54d680f5b877,39,43,189.04
3d533735-7f49-4195-ac3e-54d680f5b877,44,48,236.3
3d533735-7f49-4195-ac3e-54d680f5b877,49,53,295.38
3d533735-7f49-4195-ac3e-54d680f5b877,54,58,502.15
3d533735-7f49-4195-ac3e-54d680f5b877,59,120,562.41
58f9a7f9-d5a4-4100-976d-853d7e7339a1,00,18,142.88
58f9a7f9-d5a4-4100-976d-853d7e7339a1,19,23,160.03
58f9a7f9-d5a4-4100-976d-853d7e7339a1,24,28,179.23
58f9a7f9-d5a4-4100-976d-853d7e7339a1,29,33,206.11
58f9a7f9-d5a4-4100-976d-853d7e7339a1,34,38,237.03
58f9a7f9-d5a4-4100-976d-853d7e7339a1,39,43,282.07
58f9a7f9-d5a4-4100-976d-853d7e7339a1,44,48,352.59
58f9a7f9-d5a4-4100-976d-853d7e7339a1,49,53,440.74
58f9a7f9-d5a4-4100-976d-853d7e7339a1,54,58,749.26
58f9a7f9-d5a4-4100-976d-853d7e7339a1,59,120,839.17
